train_loss,val_loss,val_acc,val_top5,val_f1
4.80523608041973,4.69554814196449,0.02591687041564792,0.09731051344743276,0.004328728058937981
4.544031476280545,4.504498176528073,0.03960880195599022,0.14767726161369193,0.016632369278266106
4.321353082568223,4.465192274126272,0.04792176039119805,0.15745721271393642,0.02206853902591179
4.129872294616419,4.298534216099672,0.05476772616136919,0.19706601466992665,0.02581746268174524
3.979408825932293,4.257537659456211,0.06405867970660147,0.2293398533007335,0.035293384625938416
3.852023832661257,4.478204896922216,0.07286063569682151,0.22885085574572128,0.040562333394608886
3.7013013720643597,4.117401260618475,0.07237163814180929,0.2616136919315403,0.045331092144749015
3.3136456903478866,3.6537282360795076,0.1388753056234719,0.3784841075794621,0.10926923428747735
3.205299913234461,3.6507671292078814,0.13789731051344745,0.3799511002444988,0.10833651723851695
3.14020064595248,3.6751584786366136,0.1315403422982885,0.37310513447432764,0.10610010129225832
3.0970461081070613,3.59221994311419,0.14425427872860636,0.4024449877750611,0.11535568921198128
3.0303149637360147,3.6158817891678194,0.14034229828850855,0.39657701711491444,0.11135313670916061
2.9804398369727894,3.5760944315157195,0.14865525672371638,0.4068459657701711,0.1198559510975668
2.913106529727547,3.6037397771709414,0.15647921760391198,0.4004889975550122,0.1272338094168294
2.7995122112912365,3.492571652139603,0.1647921760391198,0.42053789731051344,0.13906032510212468
2.788998452319891,3.4848613832282553,0.17114914425427874,0.42444987775061127,0.14291016061637152
2.7714237136684536,3.497901624222548,0.16185819070904645,0.423960880195599,0.1364984916159715
2.759802486430874,3.491458636566013,0.16185819070904645,0.423960880195599,0.13570321474209848
2.7513948651416764,3.483710059093671,0.16674816625916872,0.43031784841075793,0.14033449084244054
2.7550529733298386,3.4807419427158197,0.16674816625916872,0.42836185819070904,0.14226616308405263
2.7389996184162104,3.49356008975022,0.16919315403422983,0.41907090464547675,0.1441050532717762
2.72252049296821,3.4813883118058184,0.16821515892420538,0.42689486552567235,0.14353880753438406
2.725793400501234,3.480161480915284,0.1706601466992665,0.4229828850855746,0.14556817915105086
2.720467583188746,3.4823351580239743,0.16674816625916872,0.4273838630806846,0.14275205530159285
2.7170859624984667,3.4818031456767784,0.1687041564792176,0.42836185819070904,0.14421314365161594
2.720797607189317,3.485887526066787,0.16723716381418094,0.42493887530562346,0.14357729809146116
2.7163844737502756,3.4807145419505523,0.16674816625916872,0.4254278728606357,0.1427130876434162
2.7092779371985394,3.4876398663649057,0.16625916870415647,0.4229828850855746,0.14255064651578345
2.717686756353762,3.4753526098862255,0.16772616136919316,0.4273838630806846,0.143217506479915
2.706987517583016,3.4814680326830203,0.1647921760391198,0.4293398533007335,0.1412456230983781
